TOTAL LENGTH OF GENOME ASSEMBLY: 2397813
NUM CONTIG: 10824
MAX CONTIG LENGTH: 35377
MEAN CONTIG LENGTH: 221.52743902439025
MEAN COVERAGE DEPTH: 38.5063806568736
N50:  515
#Contig length	Number of contigs in this category
0	5681
100	3601
200	472
300	303
400	197
500	138
600	95
700	57
800	51
900	30
1000	27
1100	22
1200	16
1300	16
1400	12
1500	10
1600	5
1700	4
1800	4
1900	8
2000	6
2100	8
2200	3
2300	3
2600	1
2700	1
3000	1
3300	1
3600	2
3700	2
3800	1
3900	1
4200	1
4300	1
4400	2
4600	1
4700	1
4900	1
5300	1
5400	1
5600	1
5800	1
5900	3
6100	1
6200	1
6300	1
6400	1
7700	1
7800	1
8000	1
8500	2
8700	1
10500	1
10600	1
10700	1
11200	1
11400	1
11800	1
11900	1
12200	1
12800	1
14300	1
15600	1
21300	1
22600	1
22700	1
25000	1
25500	1
28300	1
30400	1
32100	1
35300	1
